"Gene_Symbol","log2FC","P_Value","Adjusted_P_Value","Regulation"
"DNALI1",-1.354203125,8.72145915371954e-09,0.000140180012977734,"Downregulated"
"MGC39584",2.57605729166667,9.76118848407958e-08,0.000483673030367512,"Upregulated"
"AG_0892",-1.66544444444444,1.05322939481509e-07,0.000483673030367512,"Downregulated"
"CDCA7",1.68007638888889,1.91311910882173e-07,0.000550204597368045,"Upregulated"
"APBB2",-1.12365625,2.05389633808764e-07,0.000550204597368045,"Downregulated"
"AG_2872",-1.73365277777778,2.36641965791459e-07,0.000571473065280689,"Downregulated"
"SLC39A6",-1.47730729166667,3.12168617639127e-07,0.000668998158841825,"Downregulated"
"AG_0633",1.60655555555556,3.633639047229e-07,0.000687099769483666,"Upregulated"
"HRK",1.21522048611111,3.46638367999629e-07,0.000687099769483666,"Upregulated"
"CA12",-1.81914409722222,4.01256848850621e-07,0.000716600147952893,"Downregulated"
"IDO1",1.062390625,4.68429822298435e-07,0.000752907253380274,"Upregulated"
"FOXC1",1.55266840277778,7.31492270660386e-07,0.000974844844473379,"Upregulated"
"RARRES1",1.46725173611112,7.58138527712141e-07,0.000974844844473379,"Upregulated"
"AG_3442",1.48841145833333,1.16793806164285e-06,0.00125148456431904,"Upregulated"
"TBC1D9",-1.26638888888889,1.14675806067487e-06,0.00125148456431904,"Downregulated"
"AG_0538",-1.97428645833333,1.41267065718568e-06,0.00126900944950264,"Downregulated"
"DMRTA1",1.03738368055556,1.42115162639505e-06,0.00126900944950264,"Upregulated"
"BCL11A",1.03672916666667,1.33328119476522e-06,0.00126900944950264,"Upregulated"
"ANKRD30A",-2.97418402777778,1.79298457261334e-06,0.00140578736759094,"Downregulated"
"ROPN1",1.37528645833333,1.76322831342785e-06,0.00140578736759094,"Upregulated"
"SNAP91",1.01497222222222,1.94151141091369e-06,0.00146004723995504,"Upregulated"
"AG_1762",-1.00131770833333,1.99844704031673e-06,0.00146004723995504,"Downregulated"
"FOXA1",-1.48971875,2.26432463828555e-06,0.00158236912657233,"Downregulated"
"IGF2BP3",1.05702430555557,2.75899426259328e-06,0.00173822172315244,"Upregulated"
"SPDEF",-1.19224479166666,3.06842909209879e-06,0.00182662447397422,"Downregulated"
"HIST1H1A",1.09697222222222,3.26619872820218e-06,0.00187491471994263,"Upregulated"
"AG_0907",1.18289236111111,3.32936810751544e-06,0.00187764679270511,"Upregulated"
"AG_1152",1.74239583333333,4.0738493747636e-06,0.00209445889707805,"Upregulated"
"MATN3",-1.05357118055556,3.97594613542542e-06,0.00209445889707805,"Downregulated"
"PP14571",-1.22639756944444,4.38061819970414e-06,0.00213362655526802,"Downregulated"
"ESR1",-2.23090451388889,4.88726968348375e-06,0.00230167776814517,"Downregulated"
"DSC2",1.07692534722222,5.29845563500101e-06,0.00230167776814517,"Upregulated"
