Gene_Symbol,log2FC,P_Value,Adjusted_P_Value,Regulation
CADPS2,0.687919254658382,0.0007149929925025,0.999355303675449,Upregulated
CAMK2D,0.580745341614911,0.0011686250411361,0.999355303675449,Upregulated
RNU4-87P,0.721490683229813,0.0016780760434234,0.999355303675449,Upregulated
LIFR,0.982298136645964,0.0024315789889651,0.999355303675449,Upregulated
LMBRD2,0.690434782608701,0.0025921597007169,0.999355303675449,Upregulated
MFSD4,0.545652173913042,0.0026882415805332,0.999355303675449,Upregulated
RNU11-4P,0.664689440993788,0.0027025276718849,0.999355303675449,Upregulated
ENPP3,1.02670807453416,0.0027489396323372,0.999355303675449,Upregulated
KRT17P2,-0.99857142857143,0.0028019046392465,0.999355303675449,Downregulated
TNS4,-0.77363354037267,0.0030991687914002,0.999355303675449,Downregulated
KRT17,-1.20627329192546,0.003157694741161,0.999355303675449,Downregulated
MAP3K13,0.633322981366458,0.0031606452985915,0.999355303675449,Upregulated
STS,0.556086956521735,0.0032513417847507,0.999355303675449,Upregulated
NFIB,0.596770186335407,0.0034074041862208,0.999355303675449,Upregulated
HOOK1,0.85192546583851,0.0035730332295712,0.999355303675449,Upregulated
RNU6-418P,0.892857142857143,0.0036910290830655,0.999355303675449,Upregulated
ENPP4,0.536770186335403,0.0043784665463465,0.999355303675449,Upregulated
DPP4,1.18968944099379,0.0044658540659272,0.999355303675449,Upregulated
ATP13A4,1.03009316770186,0.0046454117523727,0.999355303675449,Upregulated
DKK1,-1.53577639751553,0.0049556557778097,0.999355303675449,Downregulated
STK32A,0.936832298136644,0.0050216437062883,0.999355303675449,Upregulated
ZNF483,0.609720496894408,0.0052851465420611,0.999355303675449,Upregulated
SLC5A1,0.931366459627327,0.005288232926844,0.999355303675449,Upregulated
SKAP1,0.723913043478262,0.0061475838037299,0.999355303675449,Upregulated
RAB30,0.604223602484472,0.0061942494872611,0.999355303675449,Upregulated
TMPRSS2,0.665683229813658,0.0063038988961602,0.999355303675449,Upregulated
MIR29B2,0.58472049689441,0.006824409254474,0.999355303675449,Upregulated
CDKL2,1.12437888198758,0.0068438058306142,0.999355303675449,Upregulated
EFCAB2,0.603385093167702,0.0069898948801878,0.999355303675449,Upregulated
HPGDS,1.00863354037267,0.0074411800823086,0.999355303675449,Upregulated
SPAG1,0.543788819875777,0.007582896918537,0.999355303675449,Upregulated
NFKBIZ,0.526335403726705,0.0076021095138931,0.999355303675449,Upregulated
SLITRK6,1.50413043478261,0.0080677996400593,0.999355303675449,Upregulated
ARMC3,0.524472049689444,0.00864489550579,0.999355303675449,Upregulated
PIGR,1.10413043478261,0.0088037701701422,0.999355303675449,Upregulated
OCLN,0.977204968944095,0.0088147074288644,0.999355303675449,Upregulated
TEX9,0.90524844720497,0.0089473386794845,0.999355303675449,Upregulated
ENPP5,0.76326086956522,0.0089543107837256,0.999355303675449,Upregulated
XAGE1B,1.19506211180124,0.0090439812755662,0.999355303675449,Upregulated
SERPINE1,-0.575093167701861,0.0090451220456493,0.999355303675449,Downregulated
SNORA16B,0.616614906832296,0.0091028008095393,0.999355303675449,Upregulated
HBEGF,-0.622391304347829,0.0093788810398202,0.999355303675449,Downregulated
MBIP,0.601708074534155,0.0096690214154866,0.999355303675449,Upregulated
PLEKHS1,1.20024844720497,0.0096728660735934,0.999355303675449,Upregulated
TDRKH,0.572670807453417,0.0098404998533777,0.999355303675449,Upregulated
CPA3,1.15152173913044,0.0103500759898387,0.999355303675449,Upregulated
CCSER1,0.639720496894411,0.0114212633425988,0.999355303675449,Upregulated
STK39,0.621739130434781,0.0114223506697145,0.999355303675449,Upregulated
PIH1D2,0.594658385093168,0.0116528970029277,0.999355303675449,Upregulated
HPGD,1.27972049689441,0.0126640012085509,0.999355303675449,Upregulated
STEAP4,1.14711180124223,0.0139125810637808,0.999355303675449,Upregulated
