Gene_Symbol,log2FC,P_Value,Adjusted_P_Value,Regulation
LOC105374836,6.36631262207913,1.47162585888284e-191,3.1954883899781897e-187,Upregulated
SERHL2,5.57522978662685,1.76051707436205e-93,1.91139338763488e-89,Upregulated
MTND6P4,6.18990080846002,1.24819022027279e-87,9.03440081433444e-84,Upregulated
LOC124903860,6.43772348880715,1.1117509020564901e-74,6.03513977181368e-71,Upregulated
NSUN5,-2.86047396679393,3.78720700894192e-74,1.6447082598433e-70,Downregulated
TAF5,4.16563705054434,7.84160908408085e-74,2.83787832752886e-70,Upregulated
LOC124903996,3.02292106047443,3.50580465015844e-70,1.08750060247915e-66,Upregulated
CHRM4,5.62522978730409,1.77842987241555e-58,4.8271032812039094e-55,Upregulated
LOC105371038,5.61488113063514,7.58549581694057e-56,1.8301272907672e-52,Upregulated
ALG1L3P,-2.98758307435992,5.1691578052274195e-48,1.1224309258270802e-44,Downregulated
NAIPP2,4.48213405535646,7.81223124565786e-46,1.54213444789286e-42,Upregulated
LOC124901580,-3.58791569732776,1.1420781983125901e-45,2.0665904998466298e-42,Downregulated
DYNC2I2,3.45736654349585,9.899031564060871e-44,1.6534428567847498e-40,Upregulated
GON4L,-2.02598902672014,3.718185718338819e-40,5.76690604914351e-37,Downregulated
ESRRA,2.55260859635454,2.15791874772535e-39,3.12380317920721e-36,Upregulated
GDF9,4.57064291559184,8.19581673019361e-38,1.1122747779964e-34,Upregulated
LOC124901672,-2.78974535952979,1.4893481507484e-37,1.8309204011326e-34,Downregulated
LOC124904994,-3.50670279646833,1.51775661878912e-37,1.8309204011326e-34,Downregulated
LOC107987026,-3.91588519898682,2.7222127335118e-36,3.1110593313408e-33,Downregulated
TPT1-AS1,2.91448882122141,1.7656715758168e-35,1.9169896298643e-32,Upregulated
FTH1P2,-5.79526972037503,1.83054554098646e-34,1.89278408938e-31,Downregulated
LOC107985584,-3.26548234924474,5.17594417519456e-33,5.1086569009170296e-30,Downregulated
LOC102724034,-3.34760435533749,5.97186192004958e-32,5.63795694486767e-29,Downregulated
CSPG4P5,-2.94937959598464,6.72669338070636e-32,6.08597583619408e-29,Downregulated
LOC102724992,-3.57837275682388,9.20926093380425e-31,7.9987956766650195e-28,Downregulated
FAM85A,-2.57665047388798,4.9702490338705495e-30,4.1509225969794296e-27,Downregulated
LOC101927345,-2.6610163209921,6.34444122889753e-30,5.10234062386226e-27,Downregulated
LOC112268045,-3.03311183334967,1.1535769728808899e-29,8.9459894246913e-27,Downregulated
TMEM262,2.78537839505664,4.30542141662982e-29,3.22372140140345e-26,Upregulated
LOC101929774,-2.73034733234071,4.55204937133408e-29,3.29477333497161e-26,Downregulated
LOC112268174,-2.66783725320708,1.80571494876823e-28,1.26481594830817e-25,Downregulated
LOC100652777,-5.48016532140515,6.2309438230253e-28,4.2280848179116e-25,Downregulated
LOC100420851,-3.30487498059322,7.743411304680649e-28,5.095164638479871e-25,Downregulated
PPP1R12BP1,-3.02670610843257,1.22071085550151e-27,7.79603397539993e-25,Downregulated
H3-3A-DT,3.69450848942818,2.11706439421053e-27,1.31342675016821e-24,Upregulated
CTR9,-4.24545115838601,4.48768160577658e-27,2.70681995521757e-24,Downregulated
ZNF141,-3.52347538104045,9.26583922984538e-27,5.43779548748278e-24,Downregulated
LOC105376045,-3.40934160874172,1.0714899583339e-26,6.12271919875321e-24,Downregulated
LOC102724497,4.4574034228483,1.58539557196232e-26,8.82699473066406e-24,Upregulated
MIR12136,3.68373919114648,1.68348373585685e-26,9.1387914600989e-24,Upregulated
DNM1P41,-3.0016760461577,5.46290865957772e-26,2.89320972278221e-23,Downregulated
LOC112268218,-1.70343528682834,6.85177866142246e-26,3.5423695679554103e-23,Downregulated
LOC101928487,2.29441722284701,1.10320277868322e-25,5.57091747356452e-23,Upregulated
SYN1,3.13325112807847,2.1159304719582302e-25,1.04421168791139e-22,Upregulated
ALG1L12P,-2.41312306182595,2.74466082890584e-25,1.30455613866191e-22,Downregulated
LOC124906057,-2.26326039180949,2.76363555210684e-25,1.30455613866191e-22,Downregulated
MTND4LP1,-3.18976063121033,4.35535609162821e-25,2.01217451433223e-22,Downregulated
AFG3L2P1,-3.32199532997903,8.2433384069521e-25,3.71172490314595e-22,Downregulated
KRTCAP2P1,2.84070965041651,8.37591048421072e-25,3.71172490314595e-22,Upregulated
DTX2P1,-3.11515275569973,1.01916412358277e-24,4.42602595589523e-22,Downregulated
PHC1P1,3.02641255083956,2.91135587277199e-24,1.23955257688963e-21,Upregulated
LOC101928336,-4.78833611516157,5.17899557915276e-24,2.1626290385716e-21,Downregulated
LOC124900549,-2.57710747041775,7.39827161751555e-24,3.03105792269307e-21,Downregulated
RPF1,1.62289469956564,8.33244437596113e-24,3.35056846628926e-21,Upregulated
SPDYE2,-2.54598374346386,1.81660165739759e-23,7.17194334340568e-21,Downregulated
BICDL2,2.84842547406685,2.12787606219507e-23,8.14349002185397e-21,Upregulated
FAM86B1,-2.0183490688935,2.1376942582927e-23,8.14349002185397e-21,Downregulated
GTF2IP10,-3.42449419939427,3.07967406045761e-22,1.15296625084098e-19,Downregulated
DND1P1,-3.15501685992558,3.3376523702026697e-22,1.22836921299289e-19,Downregulated
LOC100216488,-2.85208417581376,9.0883322999497e-22,3.2890674593518e-19,Downregulated
LINC00869,-2.37028279970392,1.31789290927405e-21,4.69126666097979e-19,Downregulated
GNRHR2P1,3.50456589182654,2.6789981508427103e-21,9.38254287861268e-19,Upregulated
ARHGEF35,-2.92332142862418,5.15415724152231e-21,1.77646619591136e-18,Downregulated
DDX11L10,3.54834316150992,5.29840671595348e-21,1.79765005359709e-18,Upregulated
RGPD4,-2.57868426826635,5.38633171083634e-21,1.79936625798616e-18,Downregulated
DDX11L5,3.44269316869171,6.34282603520037e-21,2.08678976558092e-18,Upregulated
LOC124905095,-3.16219140300203,1.0104452892534001e-20,3.27474761355944e-18,Downregulated
HCG4B,-4.07464674484682,1.17736336843929e-20,3.75959826210157e-18,Downregulated
DEFB109D,-2.4923508970517,4.09501186789306e-20,1.28868243042652e-17,Downregulated
LOC124902766,-2.59428954912295,6.513895748940281e-20,2.0206104613212702e-17,Downregulated
LOC107984974,2.08684058585086,6.64157695200569e-20,2.03120002726552e-17,Upregulated
LOC107984203,-3.06533202755515,6.940616130631701e-20,2.09317414806301e-17,Downregulated
OR4F16,-3.36481783023326,7.10566178239552e-20,2.1135936978484402e-17,Downregulated
LOC101929255,-2.46683124549339,8.63790173125042e-20,2.53464051611313e-17,Downregulated
H1-10-AS1,2.01004210564051,1.98180093070271e-19,5.73771005457049e-17,Upregulated
H4C15,-2.33584220182057,2.30159956588447e-19,6.54495235028872e-17,Downregulated
LINC00987,3.20893002192431,2.32090508875487e-19,6.54495235028872e-17,Upregulated
LOC107986717,-2.70859466186376,2.79382651048032e-19,7.77758318571406e-17,Downregulated
DEFB109E,-2.07613868838045,2.94194674435127e-19,8.08625716542323e-17,Downregulated
MSTO1,-2.05947118877557,5.147801259277781e-19,1.3972419567994699e-16,Downregulated
POM121L8P,-3.26265184484038,8.77496890605899e-19,2.35234166452055e-16,Downregulated
LOC112267903,-3.25389854085803,1.2467511406630199e-18,3.30145783760449e-16,Downregulated
PCNP,2.58946255722581,1.4410749968994499e-18,3.77006054008129e-16,Upregulated
LOC387770,-3.96650983752448,2.2541770063245598e-18,5.82704756134899e-16,Downregulated
SLC29A4,2.03425743470511,2.780652308818e-18,7.10342167454989e-16,Upregulated
LOC105379443,-3.05338365383744,3.49748400029532e-18,8.83074041655959e-16,Downregulated
ANKRD20A4-ANKRD20A20P,-4.06561044427061,5.81388290164201e-18,1.4510649807615502e-15,Downregulated
LOC124903816,-2.97943677722365,6.99998198753584e-18,1.7272455554244701e-15,Downregulated
LOC107987089,-3.7014677338007,1.14360116787438e-17,2.7901298605870102e-15,Downregulated
PABPN1P2,-2.00618405161961,1.24980333395232e-17,3.0153588437156303e-15,Downregulated
LOC100996709,-2.50671232695017,1.71664419787359e-17,4.0961771552337505e-15,Downregulated
NOPCHAP1,-2.98335591890291,2.42404248662357e-17,5.72126723418959e-15,Downregulated
LOC112268123,3.07937120434937,5.39180711349842e-17,1.25889999637102e-14,Upregulated
LINC02067,1.91538964260918,8.15273290139898e-17,1.88328130022316e-14,Upregulated
RPAP2,-2.65478700424762,8.32979217386323e-17,1.90392744487649e-14,Downregulated
LOC154761,-2.46642579266,8.5086832263934e-17,1.92455778726986e-14,Downregulated
LOC100506730,-3.72819333722951,1.0286566535697001e-16,2.3027062449084998e-14,Downregulated
