Gene_Symbol,log2FC,P_Value,Adjusted_P_Value,Regulation
SLC7A5,2.11705692849355,0.0,0.0,Upregulated
NMNAT2,-2.23777217579895,0.0,0.0,Downregulated
KRT81,-2.51343552442378,0.0,0.0,Downregulated
SLC3A2,1.47506589003737,5.39934974957897e-290,2.73598550185541e-286,Upregulated
ALDH3A2,1.4491397870321,8.25140895651002e-278,3.34495616279003e-274,Upregulated
ASPH,1.61594525891367,1.24739928796437e-272,4.21392269462497e-269,Upregulated
FNDC3B,1.86912739815982,9.19013888655395e-266,2.5194197034977598e-262,Upregulated
SRRM4,-1.70606263223193,9.94393291626723e-266,2.5194197034977598e-262,Downregulated
PCDH7,-1.29627521491062,3.5673307609294e-243,8.03402524369756e-240,Downregulated
ABHD2,-1.14906110767851,5.29199864750731e-242,1.0726352058632598e-238,Downregulated
BST2,-2.38651232427094,7.797563966699361e-240,1.4368074912820801e-236,Downregulated
SYT4,-2.3641957284909,4.5080555827187005e-237,7.61448155051045e-234,Downregulated
RIPOR2,2.35056425900333,6.389166859084999e-228,9.961694082061061e-225,Upregulated
PPP1R1B,3.39991938183184,8.394892981789139e-216,1.21540061319917e-212,Upregulated
AP3B2,-2.74990518860892,3.35311498630847e-215,4.53095251049909e-212,Downregulated
SLC7A5-AS1,2.12428882695232,2.43296563909879e-211,3.08211128368083e-208,Upregulated
RGS2,1.68730351701407,6.32100785962982e-185,7.53650048863746e-182,Upregulated
STMN3,-2.06298158527969,3.7706923495220805e-183,4.24600906847017e-180,Downregulated
SUN2,-1.24322041986027,3.499171321682e-163,3.7328791325880195e-160,Downregulated
ZIC2,-1.57214485572392,1.06519102916239e-162,1.07951784850463e-159,Downregulated
CHRNB2,-2.40503284726645,7.534013384143051e-154,7.27175796586645e-151,Downregulated
VGF,-1.78117136106038,9.80188424830362e-150,9.03065417403937e-147,Downregulated
CAMKV,-1.85448076567358,4.20497647610301e-148,3.7056812258318204e-145,Downregulated
CELSR3,-1.44988274880159,2.3080248611358198e-147,1.94922316293174e-144,Downregulated
CPLX2,-2.44816846828343,2.6722069321874203e-145,2.16651849234027e-142,Downregulated
AGAP2,-2.13290131512747,8.86701544852256e-144,6.91252062023476e-141,Downregulated
KRT19,2.10024275192264,7.12800692543445e-141,5.35102119894929e-138,Upregulated
BEX1,-1.5939022952082,3.69022813890753e-139,2.67132979098274e-136,Downregulated
SYP,-2.17682127940475,2.82933927600357e-128,1.97751302707988e-125,Downregulated
PAX5,-2.32151667890244,7.43216228017971e-128,5.02141657523209e-125,Downregulated
BSN,-1.88462496050747,5.845489391748349e-125,3.82200724133378e-122,Downregulated
CELF3,-2.0092856842294,8.4538220098381e-125,5.35470369741901e-122,Downregulated
ADGRG6,1.06916651709195,7.00338025236738e-123,4.3015610404616505e-120,Upregulated
SOX9,1.22842846861077,7.29408941326589e-118,4.348349950514299e-115,Upregulated
FOXQ1,-3.39608510339947,4.03679663398322e-108,2.27282863817239e-105,Downregulated
TTBK2,-1.4533212225086,4.361136198861911e-106,2.32620709512453e-103,Downregulated
TMEM145,-2.14001863583205,1.7916305453354e-105,9.31142551882135e-103,Downregulated
LRATD1,-1.38464853913009,1.56515390164492e-102,7.93102610811023e-100,Downregulated
AGAP2-AS1,-2.20557977823294,3.78174347858041e-98,1.86956484310601e-95,Downregulated
PRSS23,1.57623050398083,4.4614215145620404e-98,2.1530607780632802e-95,Upregulated
IGFBP3,1.22049354021349,4.887886815014e-98,2.30401343845392e-95,Upregulated
AGR2,3.10816705142552,8.42998018046148e-97,3.88334700631304e-94,Upregulated
PSD,-2.41029422198753,2.1747452059633e-96,9.795535684371119e-94,Downregulated
SMOC1,2.53904781390536,5.41891513617657e-95,2.33693597649283e-92,Upregulated
SLC35F5,1.82571639628976,7.20309856799523e-94,3.04165843488948e-91,Upregulated
ATP1A3,-1.51215505552007,9.366293427784759e-92,3.87439594872999e-89,Downregulated
CPLX1,-1.66645894043396,2.4169978453087e-91,9.79802586531241e-89,Downregulated
SCAMP5,-2.06015296487899,1.35680928872132e-89,5.39238577903773e-87,Downregulated
SCG3,-2.04926370017378,1.6536701704403101e-87,6.3241963555952e-85,Downregulated
STC1,2.52121948354632,5.62664017770843e-87,2.11196981040689e-84,Upregulated
UNC13A,-1.12783085375383,2.5294255458159301e-85,9.32162297966238e-83,Downregulated
DACH2,3.01495542706831,1.74055371300551e-80,6.29987200159083e-78,Upregulated
FAM43A,1.98307476736459,1.76138301398419e-76,6.15542626042166e-74,Upregulated
PEX5L,-2.46156808303974,5.47647790844301e-75,1.85004551210386e-72,Downregulated
BICDL1,-1.29732900982119,2.67580333652468e-74,8.89112423410143e-72,Downregulated
PRR16,1.41796008114115,2.33140873367701e-72,7.621826390790209e-70,Upregulated
DEPDC1,1.14045453543536,1.39809018571803e-71,4.4980777737014003e-69,Upregulated
PGBD5,-1.29463368072539,2.02530007751534e-71,6.41418863611851e-69,Downregulated
CADPS2,1.15909330906278,4.6150223764733096e-69,1.41730134164754e-66,Upregulated
DAPL1,2.9391318308835,6.11300172291156e-69,1.84931987942827e-66,Upregulated
PLA2G7,1.26794539028281,1.6479118344707202e-67,4.84080072070826e-65,Upregulated
ANTXR1,1.92931881540952,3.54829065634841e-66,9.98893101576748e-64,Upregulated
DPYSL4,-1.76616900960406,4.10516221721733e-65,1.12442612136186e-62,Downregulated
ATCAY,-1.63915729343416,3.69768667479844e-64,9.99312149486526e-62,Downregulated
EDNRA,1.65569046233089,7.17631746221913e-64,1.9139049821278902e-61,Upregulated
KRT7,-2.46403257234129,1.3652777387075799e-62,3.59387201115115e-60,Downregulated
SEZ6,-2.20445024621524,1.083794720181e-61,2.81633784401906e-59,Downregulated
EHF,-1.46411519548189,3.43202788565098e-61,8.80554091319742e-59,Downregulated
ARHGAP29,1.47032870309108,4.90126080030441e-60,1.2264648785354299e-57,Upregulated
CYP1B1,-1.24797767219408,7.56894502633594e-60,1.87091398461955e-57,Downregulated
CAMK2N2,-1.4930653250878,1.5041395920065099e-57,3.6731813723349296e-55,Downregulated
NRXN1,-2.68576029073157,2.9592494686020496e-57,7.140598509416079e-55,Downregulated
P2RY1,1.03923869447028,5.84091340641094e-57,1.39281733922992e-54,Upregulated
FBXL15,-1.03898748896669,7.415672016637329e-56,1.74777041982816e-53,Downregulated
SNCG,1.75974127090381,1.6982958516580802e-54,3.86772568733232e-52,Upregulated
GNG4,-1.83581761959539,2.60965410667889e-54,5.87723100980827e-52,Downregulated
CACNA1B,-2.35082591399581,2.42013072801835e-53,5.39050876112131e-51,Downregulated
ATP11A,-1.2130374029347,3.01875496681453e-51,6.57926284111437e-49,Downregulated
SFT2D1,1.56589927086262,4.85666728131698e-51,1.0472317992022699e-48,Upregulated
GUCY1B1,1.40576424263162,5.07346206770028e-51,1.08246318579176e-48,Upregulated
GNB4,1.18873561997694,7.03511640639738e-51,1.48536223376321e-48,Upregulated
GRIN1,-1.14203371899058,3.1330196820893198e-49,6.414462215784701e-47,Downregulated
JAG1,1.8762261670766,3.81929122608413e-49,7.74132138614992e-47,Upregulated
CD44,1.14469932982885,4.1305606594797e-49,8.289340000692481e-47,Upregulated
CARMIL2,-1.63294412730259,2.0228568257053602e-47,3.9424312500213304e-45,Downregulated
TSPAN13,1.26105483385957,3.10003374050023e-47,5.9277909326603e-45,Upregulated
