"GSM_ID","Title","Transfection","Cell_Type","Group"
"GSM5688628","73_H524_M/M-WT","lentiviral transgene expressing M/M-WT","SCLC line","WT"
"GSM5688629","91_H524_M/M-WT","lentiviral transgene expressing M/M-WT","SCLC line","WT"
"GSM5688630","92_H524_M/M-WT","lentiviral transgene expressing M/M-WT","SCLC line","WT"
"GSM5688631","74_H524_M/M-51","lentiviral transgene expressing M/M-51","SCLC line","M51"
"GSM5688632","93_H524_M/M-51","lentiviral transgene expressing M/M-51","SCLC line","M51"
"GSM5688633","94_H524_M/M-51","lentiviral transgene expressing M/M-51","SCLC line","M51"
"GSM5688634","95_H209_M/M-WT","lentiviral transgene expressing M/M-WT","SCLC line","WT"
"GSM5688635","96_H209_M/M-WT","lentiviral transgene expressing M/M-WT","SCLC line","WT"
"GSM5688636","76_H209_M/M-51","lentiviral transgene expressing M/M-51","SCLC line","M51"
"GSM5688637","97_H209_M/M-51","lentiviral transgene expressing M/M-51","SCLC line","M51"
"GSM5688638","98_H209_M/M-51","lentiviral transgene expressing M/M-51","SCLC line","M51"
