"sample","batch","condition","cancer"
"GSM677317","GSE33072","Resistant","Lung"
"GSM677318","GSE33072","Resistant","Lung"
"GSM677319","GSE33072","Resistant","Lung"
"GSM677320","GSE33072","Sensitive","Lung"
"GSM677321","GSE33072","Resistant","Lung"
"GSM677322","GSE33072","Resistant","Lung"
"GSM677323","GSE33072","Sensitive","Lung"
"GSM677324","GSE33072","Resistant","Lung"
"GSM677325","GSE33072","Resistant","Lung"
"GSM677326","GSE33072","Resistant","Lung"
"GSM677327","GSE33072","Resistant","Lung"
"GSM677328","GSE33072","Resistant","Lung"
"GSM677329","GSE33072","Resistant","Lung"
"GSM677330","GSE33072","Sensitive","Lung"
"GSM677331","GSE33072","Resistant","Lung"
"GSM677332","GSE33072","Resistant","Lung"
"GSM677333","GSE33072","Resistant","Lung"
"GSM677334","GSE33072","Resistant","Lung"
"GSM677335","GSE33072","Resistant","Lung"
"GSM677336","GSE33072","Resistant","Lung"
"GSM677337","GSE33072","Resistant","Lung"
"GSM677338","GSE33072","Resistant","Lung"
"GSM780611","GSE33072","Resistant","Lung"
"GSM780612","GSE33072","Resistant","Lung"
"GSM780613","GSE33072","Resistant","Lung"
"GSM780614","GSE33072","Resistant","Lung"
"GSM780615","GSE33072","Resistant","Lung"
"GSM780616","GSE33072","Resistant","Lung"
"GSM780617","GSE33072","Resistant","Lung"
"GSM780618","GSE33072","Resistant","Lung"
"GSM780619","GSE33072","Resistant","Lung"
"GSM780620","GSE33072","Resistant","Lung"
"GSM780621","GSE33072","Resistant","Lung"
"GSM780622","GSE33072","Resistant","Lung"
"GSM780623","GSE33072","Resistant","Lung"
"GSM780624","GSE33072","Resistant","Lung"
"GSM780625","GSE33072","Resistant","Lung"
"GSM780626","GSE33072","Resistant","Lung"
"GSM780627","GSE33072","Resistant","Lung"
"GSM780628","GSE33072","Resistant","Lung"
"GSM780629","GSE33072","Resistant","Lung"
"GSM780630","GSE33072","Resistant","Lung"
"GSM780631","GSE33072","Resistant","Lung"
"GSM780632","GSE33072","Resistant","Lung"
"GSM780633","GSE33072","Resistant","Lung"
"GSM780634","GSE33072","Resistant","Lung"
"GSM780635","GSE33072","Resistant","Lung"
"GSM780636","GSE33072","Resistant","Lung"
"GSM780637","GSE33072","Resistant","Lung"
"GSM780638","GSE33072","Resistant","Lung"
"GSM780639","GSE33072","Resistant","Lung"
"GSM780640","GSE33072","Resistant","Lung"
"GSM789976","GSE33072","Resistant","Lung"
"GSM789977","GSE33072","Resistant","Lung"
"GSM789978","GSE33072","Resistant","Lung"
"GSM789979","GSE33072","Sensitive","Lung"
