Gene_Symbol,log2FC,P_Value,Adjusted_P_Value,Regulation
SYTL2,-1.54480191523077,0.0002784220749432,0.688406829931728,Downregulated
HIST1H2BK,1.03387644023077,0.0003372344505357,0.688406829931728,Upregulated
SNX10,-1.50741557,0.0006611682033908,0.688406829931728,Downregulated
C4orf18,-1.20524311569231,0.0006671178643722,0.688406829931728,Downregulated
TSPAN7,-1.46676316369231,0.0021041740391796,0.688406829931728,Downregulated
MMP9,-1.17855218015385,0.0030628720507097,0.688406829931728,Downregulated
LYST,-1.06036971307692,0.0032413451150176,0.688406829931728,Downregulated
SPIRE1,-1.08986097661538,0.0041239249907062,0.688406829931728,Downregulated
TUBB4,1.02567431407692,0.0045941024174964,0.688406829931728,Upregulated
PKD2,-1.03349558923077,0.0056283614464436,0.688406829931728,Downregulated
RHOBTB3,-1.144380869,0.0058632746681498,0.688406829931728,Downregulated
ITGA3,-1.11050784453846,0.0063828481611769,0.688406829931728,Downregulated
CAST,-1.12272896907692,0.0074264138061269,0.688406829931728,Downregulated
ITGAV,-1.11391292161539,0.0085567985775181,0.688406829931728,Downregulated
THOC2,-1.03653558169231,0.0101287576993096,0.688406829931728,Downregulated
KLF9,-1.02129108830769,0.0115665668641201,0.688406829931728,Downregulated
LOC642333,-1.12642156484615,0.0118738776872736,0.688406829931728,Downregulated
HNRNPA2B1,-1.06389518515385,0.0124533135600771,0.688406829931728,Downregulated
WBP5,-1.09721762707692,0.0142846805667228,0.688406829931728,Downregulated
DCBLD2,-1.18022993661539,0.0153687981600098,0.688406829931728,Downregulated
NT5C3,-1.05224480176923,0.0170499628342173,0.688406829931728,Downregulated
PRRX1,-1.04836289623077,0.0179587752027815,0.688406829931728,Downregulated
SPARCL1,-1.03394270469231,0.0209104301322032,0.688406829931728,Downregulated
ACSL3,-1.17191036961539,0.0217859231506387,0.688406829931728,Downregulated
ANXA1,-1.42040539746154,0.0230996935063399,0.688406829931728,Downregulated
C1QB,1.17673184076923,0.0273137174537124,0.688406829931728,Upregulated
GNL2,-1.06941883692308,0.027402310721731,0.688406829931728,Downregulated
PRSS23,-1.01199749861538,0.0345592311405575,0.688406829931728,Downregulated
GAGE7,1.07110393838462,0.0413197743152782,0.688406829931728,Upregulated
