"Cancer_Type","Dataset","Regulation","Input_Class","Selection_Criterion","Input_Gene_Count","Correction_Method","Domain_Scope","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"Breast cancer","GSE173839","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",69,"g_SCS","annotated","query_1",TRUE,0.00212583451274834,80,50,5,0.1,0.0625,"GO:0070098","GO:BP","chemokine-mediated signaling pathway",20972,14803,"GO:0007186; GO:0019221; GO:1990869"
"Breast cancer","GSE173839","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",69,"g_SCS","annotated","query_1",TRUE,0.00361186963190826,89,50,5,0.1,0.0561797752808989,"GO:1990869","GO:BP","cellular response to chemokine",20972,23475,"GO:0071345; GO:1990868"
"Breast cancer","GSE173839","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",69,"g_SCS","annotated","query_1",TRUE,0.00361186963190826,89,50,5,0.1,0.0561797752808989,"GO:1990868","GO:BP","response to chemokine",20972,23474,"GO:0034097"
"Breast cancer","GSE173839","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",69,"g_SCS","annotated","query_1",TRUE,0.0269137011258503,3,50,2,0.04,0.666666666666667,"GO:1902338","GO:BP","negative regulation of apoptotic process involved in morphogenesis",20972,20700,"GO:0060561; GO:1904746"
"Breast cancer","GSE173839","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",69,"g_SCS","annotated","query_1",TRUE,0.0352187061052028,23,50,3,0.06,0.130434782608696,"GO:0060561","GO:BP","apoptotic process involved in morphogenesis",20972,13735,"GO:0009653; GO:1902742"
"Breast cancer","GSE173839","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",69,"g_SCS","annotated","query_1",TRUE,2.18716971242124e-06,4249,53,29,0.547169811320755,0.00682513532595905,"GO:0005576","GO:CC","extracellular region",22155,194,"GO:0110165"
"Breast cancer","GSE173839","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",69,"g_SCS","annotated","query_1",TRUE,4.52627537111e-06,3252,53,25,0.471698113207547,0.00768757687576876,"GO:0005615","GO:CC","extracellular space",22155,227,"GO:0005576; GO:0110165"
"Breast cancer","GSE173839","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",69,"g_SCS","annotated","query_1",TRUE,0.00322144931295849,60,53,4,0.0754716981132075,0.0666666666666667,"GO:0001533","GO:CC","cornified envelope",22155,141,"GO:0005886"
"Breast cancer","GSE173839","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",69,"g_SCS","annotated","query_1",TRUE,8.40192859647064e-05,5,53,3,0.0566037735849057,0.6,"GO:0048248","GO:MF","CXCR3 chemokine receptor binding",20208,6632,"GO:0045236"
"Breast cancer","GSE173839","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",69,"g_SCS","annotated","query_1",TRUE,0.00439576700645149,50,53,4,0.0754716981132075,0.08,"GO:0008009","GO:MF","chemokine activity",20208,1481,"GO:0005125; GO:0042379"
"Breast cancer","GSE173839","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",69,"g_SCS","annotated","query_1",TRUE,0.00558743628500025,17,53,3,0.0566037735849057,0.176470588235294,"GO:0045236","GO:MF","CXCR chemokine receptor binding",20208,5482,"GO:0042379"
"Breast cancer","GSE173839","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",69,"g_SCS","annotated","query_1",TRUE,0.0183520461445671,239,53,6,0.113207547169811,0.0251046025104603,"GO:0005125","GO:MF","cytokine activity",20208,1258,"GO:0048018"
"Breast cancer","GSE173839","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",69,"g_SCS","annotated","query_1",TRUE,0.0232853261449072,76,53,4,0.0754716981132075,0.0526315789473684,"GO:0042379","GO:MF","chemokine receptor binding",20208,5043,"GO:0001664; GO:0005126"
"Breast cancer","GSE173839","Downregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",83,"g_SCS","annotated","query_1",TRUE,5.66324024480116e-06,71,39,6,0.153846153846154,0.0845070422535211,"GO:0061180","GO:BP","mammary gland epithelium development",20972,14217,"GO:0030879; GO:0060429"
"Breast cancer","GSE173839","Downregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",83,"g_SCS","annotated","query_1",TRUE,3.2562120271384e-05,1234,39,14,0.358974358974359,0.0113452188006483,"GO:0060429","GO:BP","epithelium development",20972,13632,"GO:0009888"
"Breast cancer","GSE173839","Downregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",83,"g_SCS","annotated","query_1",TRUE,0.000111442792319597,745,39,11,0.282051282051282,0.0147651006711409,"GO:0030855","GO:BP","epithelial cell differentiation",20972,6491,"GO:0030154; GO:0060429"
"Breast cancer","GSE173839","Downregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",83,"g_SCS","annotated","query_1",TRUE,0.000260664839011082,134,39,6,0.153846153846154,0.0447761194029851,"GO:0030879","GO:BP","mammary gland development",20972,6502,"GO:0048732"
"Breast cancer","GSE173839","Downregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",83,"g_SCS","annotated","query_1",TRUE,0.00027143709908086,27,39,4,0.102564102564103,0.148148148148148,"GO:0033598","GO:BP","mammary gland epithelial cell proliferation",20972,7747,"GO:0050673; GO:0061180"
"Breast cancer","GSE173839","Downregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",83,"g_SCS","annotated","query_1",TRUE,0.000323476310710188,7,39,3,0.0769230769230769,0.428571428571429,"GO:0060745","GO:BP","mammary gland branching involved in pregnancy",20972,13876,"GO:0003006; GO:0060135; GO:0060444"
"Breast cancer","GSE173839","Downregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",83,"g_SCS","annotated","query_1",TRUE,0.000338776024771163,2014,39,16,0.41025641025641,0.00794438927507448,"GO:0009888","GO:BP","tissue development",20972,3587,"GO:0048856"
"Breast cancer","GSE173839","Downregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",83,"g_SCS","annotated","query_1",TRUE,0.000716134081045517,159,39,6,0.153846153846154,0.0377358490566038,"GO:0048754","GO:BP","branching morphogenesis of an epithelial tube",20972,12155,"GO:0035239; GO:0060562; GO:0061138"
"Breast cancer","GSE173839","Downregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",83,"g_SCS","annotated","query_1",TRUE,0.00209422023683584,191,39,6,0.153846153846154,0.031413612565445,"GO:0061138","GO:BP","morphogenesis of a branching epithelium",20972,14186,"GO:0001763; GO:0002009"
"Breast cancer","GSE173839","Downregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",83,"g_SCS","annotated","query_1",TRUE,0.00229301630223316,194,39,6,0.153846153846154,0.0309278350515464,"GO:0030324","GO:BP","lung development",20972,6333,"GO:0030323; GO:0048513; GO:0060541"
"Breast cancer","GSE173839","Downregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",83,"g_SCS","annotated","query_1",TRUE,0.00258183435314023,198,39,6,0.153846153846154,0.0303030303030303,"GO:0030323","GO:BP","respiratory tube development",20972,6332,"GO:0035295; GO:0048513"
"Breast cancer","GSE173839","Downregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",83,"g_SCS","annotated","query_1",TRUE,0.00315856958825791,205,39,6,0.153846153846154,0.0292682926829268,"GO:0001763","GO:BP","morphogenesis of a branching structure",20972,416,"GO:0009653; GO:0032501"
