"Cancer_Type","Dataset","Regulation","Input_Class","Selection_Criterion","Input_Gene_Count","Correction_Method","Domain_Scope","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"Breast cancer","GSE173839","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",69,"g_SCS","annotated","query_1",TRUE,0.000377840250141798,98,24,5,0.208333333333333,0.0510204081632653,"KEGG:04061","KEGG","Viral protein interaction with cytokine and cytokine receptor",8716,261,"KEGG:00000"
"Breast cancer","GSE173839","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",69,"g_SCS","annotated","query_1",TRUE,0.00691513166740871,291,24,6,0.25,0.0206185567010309,"KEGG:04060","KEGG","Cytokine-cytokine receptor interaction",8716,260,"KEGG:00000"
"Breast cancer","GSE173839","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",69,"g_SCS","annotated","query_1",TRUE,0.0383289931317799,399,24,6,0.25,0.0150375939849624,"KEGG:04519","KEGG","Cadherin signaling",8716,328,"KEGG:00000"
"Breast cancer","GSE173839","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",69,"g_SCS","annotated","query_1",FALSE,0.109339626161775,191,24,4,0.166666666666667,0.0209424083769634,"KEGG:04062","KEGG","Chemokine signaling pathway",8716,262,"KEGG:00000"
"Breast cancer","GSE173839","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",69,"g_SCS","annotated","query_1",FALSE,0.195966608646172,107,24,3,0.125,0.0280373831775701,"KEGG:04620","KEGG","Toll-like receptor signaling pathway",8716,338,"KEGG:00000"
"Breast cancer","GSE173839","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",69,"g_SCS","annotated","query_1",FALSE,1,96,24,1,0.0416666666666667,0.0104166666666667,"KEGG:01522","KEGG","Endocrine resistance",8716,201,"KEGG:00000"
"Breast cancer","GSE173839","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",69,"g_SCS","annotated","query_1",FALSE,1,154,24,1,0.0416666666666667,0.00649350649350649,"KEGG:01240","KEGG","Biosynthesis of cofactors",8716,193,"KEGG:00000"
"Breast cancer","GSE173839","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",69,"g_SCS","annotated","query_1",FALSE,1,74,24,1,0.0416666666666667,0.0135135135135135,"KEGG:01230","KEGG","Biosynthesis of amino acids",8716,191,"KEGG:00000"
"Breast cancer","GSE173839","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",69,"g_SCS","annotated","query_1",FALSE,1,116,24,1,0.0416666666666667,0.00862068965517241,"KEGG:01200","KEGG","Carbon metabolism",8716,187,"KEGG:00000"
"Breast cancer","GSE173839","Upregulated","Primary_Strict_DEGs","BH adjusted P < 0.05; |log2FC| >= 1.0",69,"g_SCS","annotated","query_1",FALSE,1,1564,24,3,0.125,0.00191815856777494,"KEGG:01100","KEGG","Metabolic pathways",8716,184,"KEGG:00000"
